date,campaign_id,campaign_name,campaign_group,country_code,spend,impressions,clicks,conversions,creative_text,audience_targeting,objective
2025-01-06,LI-4401,LI-NA-Enterprise-ABM-Q1,Enterprise ABM,US,18200,142000,1850,8,Streamline your workflows with AI-powered project management. Trusted by 225K+ organizations worldwide.,VP/Director Operations & IT; 500+ employees; SaaS/Tech/Finance verticals; ABM target account list,Lead Generation
2025-01-07,LI-4401,LI-NA-Enterprise-ABM-Q1,Enterprise ABM,US,16500,128000,1720,6,Streamline your workflows with AI-powered project management. Trusted by 225K+ organizations worldwide.,VP/Director Operations & IT; 500+ employees; SaaS/Tech/Finance verticals; ABM target account list,Lead Generation
2025-01-08,LI-4402,LI-NA-Enterprise-ScaleUp-Q1,Enterprise Scale,US,7800,61000,790,4,From 10 to 10000 users — see how enterprise teams scale project management without the chaos.,Director+ Engineering & Product; 1000+ employees; Series C+ and public companies,Lead Generation
2025-01-06,LI-4403,LI-NA-Enterprise-ABM-Q1,Enterprise ABM,CA,4200,33000,425,2,Streamline your workflows with AI-powered project management. Trusted by 225K+ organizations worldwide.,VP/Director Operations & IT; 500+ employees; Canadian enterprise accounts,Lead Generation
2025-01-06,LI-4411,LI-EMEA-Enterprise-ABM-Q1,Enterprise ABM EMEA,GB,8900,69000,920,4,Manage projects smarter with AI-powered automation. Trusted by 225K+ organisations globally.,VP/Director Operations & IT; 500+ employees; UK enterprise accounts,Lead Generation
2025-01-07,LI-4411,LI-EMEA-Enterprise-ABM-Q1,Enterprise ABM EMEA,GB,7600,58000,780,3,Manage projects smarter with AI-powered automation. Trusted by 225K+ organisations globally.,VP/Director Operations & IT; 500+ employees; UK enterprise accounts,Lead Generation
2025-01-06,LI-4412,LI-EMEA-Enterprise-ABM-Q1,Enterprise ABM EMEA,DE,6400,50000,645,2,Verwalten Sie Projekte mit KI-gestuetzter Automatisierung. Ueber 225.000 Unternehmen vertrauen uns.,VP/Director Operations & IT; 500+ employees; DACH enterprise accounts; language-localized,Lead Generation
2025-01-07,LI-4412,LI-EMEA-Enterprise-ABM-Q1,Enterprise ABM EMEA,DE,5800,44000,570,2,Verwalten Sie Projekte mit KI-gestuetzter Automatisierung. Ueber 225.000 Unternehmen vertrauen uns.,VP/Director Operations & IT; 500+ employees; DACH enterprise accounts; language-localized,Lead Generation
2025-01-09,LI-4421,LI-APAC-Enterprise-ABM-Q1,Enterprise ABM APAC,AU,3200,25000,320,1,Streamline your workflows with AI-powered project management. Trusted by 225K+ organizations worldwide.,VP/Director Operations & IT; 500+ employees; ANZ enterprise accounts,Lead Generation
2025-01-10,LI-4421,LI-APAC-Enterprise-ABM-Q1,Enterprise ABM APAC,AU,2900,22000,285,1,Streamline your workflows with AI-powered project management. Trusted by 225K+ organizations worldwide.,VP/Director Operations & IT; 500+ employees; ANZ enterprise accounts,Lead Generation
2025-01-13,LI-4401,LI-NA-Enterprise-ABM-Q1,Enterprise ABM,US,17800,139000,1810,7,Streamline your workflows with AI-powered project management. Trusted by 225K+ organizations worldwide.,VP/Director Operations & IT; 500+ employees; SaaS/Tech/Finance verticals; ABM target account list,Lead Generation
2025-01-14,LI-4401,LI-NA-Enterprise-ABM-Q1,Enterprise ABM,US,15900,124000,1615,5,Streamline your workflows with AI-powered project management. Trusted by 225K+ organizations worldwide.,VP/Director Operations & IT; 500+ employees; SaaS/Tech/Finance verticals; ABM target account list,Lead Generation
2025-01-13,LI-4411,LI-EMEA-Enterprise-ABM-Q1,Enterprise ABM EMEA,GB,8200,64000,850,3,Manage projects smarter with AI-powered automation. Trusted by 225K+ organisations globally.,VP/Director Operations & IT; 500+ employees; UK enterprise accounts,Lead Generation
2025-01-14,LI-4412,LI-EMEA-Enterprise-ABM-Q1,Enterprise ABM EMEA,DE,6100,47000,610,2,Verwalten Sie Projekte mit KI-gestuetzter Automatisierung. Ueber 225.000 Unternehmen vertrauen uns.,VP/Director Operations & IT; 500+ employees; DACH enterprise accounts; language-localized,Lead Generation
